sku,price,product_name,product_name_ar
1318,28.0,FAMOTAK 20 MG 20 TAB,فاموتاك 20 مجم 20 قرص
388,72.0,ROWACHOL 45 CAP,رواكول 45 كبسول
1323,36.0,MOBITIL 15 MG 10 TAB,موبيتيل 15 مجم 10 قرص
393,110.0,FLOXAMO 1000 MG 16 TAB,فلوكسامو 1 جم 16 قرص
398,240.0,REGIMAX 120 MG 30 CAP,رجيماكس 120 مجم 30 كبسول
402,128.0,OMNEVORA I.M. AMP. 8 * 2 ML,اومنيفورا 8 امبول
403,34.0,DEVAROL S 200.000 I.U/2 ML 1 I.M AMP.,ديفاورل-اس 200.000 وحدة دولية / 2 مل  1 امبول
405,24.0,APIDONE SYRUP 125 ML,ابيدون شراب 125 مل
406,207.5,BEPANTHEN CREAM 30 GM,بيبانثين كريم 30 جم
407,250.0,NESTOGEN 2 MILK 400 GM,نستوجين 2 لبن 400 جم
408,23.0,PRISOLINE EYE/NASAL DROPS 15 ML,بريزولين نقط 15 مل
1340,30.0,VERMIZOLE 200 MG 6 TAB,فيرميزول 200 مجم 6 اقراص
1344,25.0,BLOKIUM DIU 15 TAB,بلوكيوم ديو 100/25مجم 15 قرص
415,19.0,BIOVIT-12 DEPOT I.M. 2 AMP.,بيوفيت 12 ديبو 2 امبول عضل
419,11.5,MINALAX 10 TAB,مينالاكس 10 اقراص
1351,51.0,DIAVANCE 5 MG/500 30 TAB,ديافانس 5/500 مجم 30 قرص
1352,78.0,CABERGAMOUN 0.5 MG 2 TAB,كابرجامون 0.5 مجم 2 قرص
422,96.0,TAVACIN 750 MG 5 TAB,تافاسين 750 مجم 5 قرص
1356,90.0,ALKAPRIDE SCORED 50 MG 30 TAB,الكابرايد 50 مجم 30 قرص
425,150.0,CHROMAX 60 CAP,كروماكس 60 كبسول
1361,76.0,HIPAMAX PLUS 20 CAP,هيباماكس بلس 20 كبسول
S13809,60.0,Essie Nail Polish 663,إيسي طلاء أظافر 663
435,54.0,VOLTAREN ADULT 100 MG 10 SUPP.,فولتارين 100 مجم 10 اقماع
438,18.0,BETADERM 0.1%CREAM 15 GM,بيتاديرم 0.1% كريم 15 جم
51,46611.0,ZYTIGA F.C.TABS 500 MG 60,زيتيجا 500 مجم 60 قرص
52,386.0,DUPHASTON 10 MG 60 TAB,دوفاستون 10 مجم 60 قرص
54,51.0,VIRECTA 100 MG 9 TAB,فايركتا 100 مجم 9 قرص
55,71.0,GABIMASH TABS 800 MG 20,جابيماش 800 مجم 20 قرص
56,71966.0,KEYTRUDA V.IV 100 MG 1 4 ML,كيترودا 100 مجم 4 مل 1 فيال
57,13501.0,AVASTIN V.IV INFUS. 400 MG 1 16,افاستين 400 مجم فيال 16 مل ثلاجة روش
60,254.0,RIVAROSPIRE 10 MG 20 TAB,ريفاروسبير 10 مجم 20 قرص
61,602.0,FORXIGA 10 MG 28 TAB,فورسيجا 10 مجم 28 قرص
62,280.0,FORADIL 12 MCG 30 INHALE CAP,فوراديل 30 كبسول للاستنشاق
63,52401.0,KISQALI FILM C.TABS 200 MG 63,كيسكالى 200 مجم 63 قرص
64,5600.0,LUCENTIS VIAL INTRAV 10 MG /ML 1,لوسنتس 10 مجم 1 فيال ثلاجة
67,124.0,TAMSULIN RETARD 0.4 MG 28 CAP,تامسولين 0.4 مجم 28 كبسول
68,1.0,11,24
69,1.0,4,21
1001,364.0,NEXIUM 10 MG 28 SACHETS,نيكسيوم 10 مجم 28 كيس
71,150.0,PRAVOTIN 100 MG 14 SACHETS,برافوتين 100 مجم 14 كيس
1002,130.0,SANSO C PLUS 28 TAB,سانسو سي بلس 28 قرص
1003,138.0,VILDAFORMIN 50MG/1000 MG 30 TAB,فيلدافورمين 50 / 1000 مجم 30 قرص
73,134.0,TAVANIC 500 MG 5 TAB,تافانيك 500 محم 5 قرص
1004,96.0,ZOVIRAX DS 400 MG/5 ML SUSP. 100 ML,زوفيراكس مضاعف القوة 400مجم/5مل شراب معلق 100 مل
1005,1.0,5,37
76,8578.0,ENBREL V.SC 50 MG 4,انبريل 50 مجم 4 فيال ثلاجة
